full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,79232,79232,6493,462,462,46,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,83238,83238,10837,2698,2698,499,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,30655,30655,5153,1289,1289,134,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29873,29873,2294,86,86,7,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23105,23105,2212,72,72,13,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,28835,28835,1927,234,234,24,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6341,6341,1559,26,26,1,https://github.com/anthropics/claude-code-action
shanraisshan/claude-code-best-practice,18166,18166,1583,374,374,24,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,14171,14171,1576,117,117,11,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9269,9269,1196,11,11,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7954,7954,570,36,36,2,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6041,6041,842,67,67,9,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5540,5540,477,8,8,2,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3716,3716,547,1,1,0,https://github.com/OneRedOak/claude-code-workflows
ykdojo/claude-code-tips,5152,5152,368,126,126,11,https://github.com/ykdojo/claude-code-tips
1rgs/claude-code-proxy,3254,3254,426,14,14,0,https://github.com/1rgs/claude-code-proxy
pedrohcgs/claude-code-my-workflow,670,670,1193,14,14,32,https://github.com/pedrohcgs/claude-code-my-workflow
disler/claude-code-hooks-mastery,3327,3327,578,13,13,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3649,3649,337,16,16,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,198,-1,-1,1,https://github.com/kodu-ai/claude-coder
anthropics/skills,96019,96019,10346,908,908,135,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2205,2205,366,4,4,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6987,6987,338,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
qwibitai/nanoclaw,23874,23874,6522,307,307,320,https://github.com/qwibitai/nanoclaw
fuergaosi233/claude-code-proxy,2170,2170,312,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,3836,3836,319,16,16,3,https://github.com/anthropics/claude-code-security-review
Cranot/claude-code-guide,2497,2497,261,3,3,0,https://github.com/Cranot/claude-code-guide
RichardAtCT/claude-code-telegram,2129,2129,273,21,21,3,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,610,610,590,1,1,0,https://github.com/anthropics/claude-code-base-action
edmund-io/edmunds-claude-code,1334,1334,275,4,4,1,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,454,454,616,1,1,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
ding113/claude-code-hub,1905,1905,229,18,18,3,https://github.com/ding113/claude-code-hub
Pimzino/claude-code-spec-workflow,3543,3543,247,5,5,0,https://github.com/Pimzino/claude-code-spec-workflow
router-for-me/CLIProxyAPI,17463,17463,2818,360,360,56,https://github.com/router-for-me/CLIProxyAPI
wshobson/agents,31533,31533,3444,100,100,5,https://github.com/wshobson/agents
FlorianBruniaux/claude-code-ultimate-guide,1844,1844,294,235,235,30,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
eyaltoledano/claude-task-master,25966,25966,2451,14,14,0,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,13130,13130,1379,94,94,1,https://github.com/snarktank/ralph
siteboon/claudecodeui,8571,8571,1096,53,53,1,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1311,1311,195,5,5,2,https://github.com/feiskyer/claude-code-settings
EveryInc/compound-engineering-plugin,10528,10528,842,53,53,3,https://github.com/EveryInc/compound-engineering-plugin
sugyan/claude-code-webui,965,965,221,2,2,0,https://github.com/sugyan/claude-code-webui
carlvellotti/claude-code-pm-course,1638,1638,246,5,5,1,https://github.com/carlvellotti/claude-code-pm-course
zhukunpenglinyutong/idea-claude-code-gui,1946,1946,218,113,113,7,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
obra/superpowers,92589,92589,7322,3822,3822,312,https://github.com/obra/superpowers
lst97/claude-code-sub-agents,1474,1474,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
centminmod/my-claude-code-setup,2071,2071,205,13,13,0,https://github.com/centminmod/my-claude-code-setup
ghuntley/claude-code-source-code-deobfuscation,863,863,423,2,2,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sickn33/antigravity-awesome-skills,25326,25326,4338,357,357,57,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
bfly123/claude_code_bridge,1642,1642,148,17,17,0,https://github.com/bfly123/claude_code_bridge
darcyegb/ClaudeCodeAgents,601,601,53,6,6,0,https://github.com/darcyegb/ClaudeCodeAgents
github/spec-kit,77885,77885,6605,370,370,17,https://github.com/github/spec-kit
Njengah/claude-code-cheat-sheet,1444,1444,183,4,4,1,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1757,1757,173,1,1,0,https://github.com/rizethereum/claude-code-requirements-builder
trailofbits/claude-code-config,1618,1618,122,9,9,0,https://github.com/trailofbits/claude-code-config
anthropics/claude-plugins-official,12511,12511,1205,150,150,20,https://github.com/anthropics/claude-plugins-official
andrepimenta/claude-code-chat,1004,1004,155,-1,-1,0,https://github.com/andrepimenta/claude-code-chat
steipete/claude-code-mcp,1175,1175,144,-1,-1,0,https://github.com/steipete/claude-code-mcp
slopus/happy,15543,15543,1220,130,130,13,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1276,1276,355,5,5,2,https://github.com/disler/claude-code-hooks-multi-agent-observability
catlog22/Claude-Code-Workflow,1488,1488,123,10,10,0,https://github.com/catlog22/Claude-Code-Workflow
JessyTsui/Claude-Code-Remote,1167,1167,124,1,1,0,https://github.com/JessyTsui/Claude-Code-Remote
jeremylongshore/claude-code-plugins-plus-skills,1643,1643,203,12,12,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
simonw/claude-code-transcripts,1138,1138,128,4,4,0,https://github.com/simonw/claude-code-transcripts
farion1231/cc-switch,29439,29439,1774,500,500,30,https://github.com/farion1231/cc-switch
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2068,2068,334,32,32,4,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
peterkrueck/Claude-Code-Development-Kit,1327,1327,153,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
jarrodwatts/claude-code-config,977,977,122,-2,-2,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,779,779,143,3,3,0,https://github.com/0xfurai/claude-code-subagents
Alishahryar1/free-claude-code,1006,1006,121,13,13,3,https://github.com/Alishahryar1/free-claude-code
pchalasani/claude-code-tools,1588,1588,100,4,4,0,https://github.com/pchalasani/claude-code-tools
winfunc/opcode,20979,20979,1620,17,17,3,https://github.com/winfunc/opcode
alirezarezvani/claude-skills,5563,5563,648,152,152,23,https://github.com/alirezarezvani/claude-skills
alirezarezvani/claude-code-tresor,625,625,141,2,2,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,977,977,113,5,5,2,https://github.com/d-kimuson/claude-code-viewer
wasabeef/claude-code-cookbook,1042,1042,110,3,3,0,https://github.com/wasabeef/claude-code-cookbook
revfactory/claude-code-mastering,761,761,124,0,0,0,https://github.com/revfactory/claude-code-mastering
ComposioHQ/awesome-claude-skills,45282,45282,4589,499,499,51,https://github.com/ComposioHQ/awesome-claude-skills
anthropics/claude-agent-sdk-demos,1737,1737,267,11,11,1,https://github.com/anthropics/claude-agent-sdk-demos
rohitg00/awesome-claude-code-toolkit,838,838,150,9,9,6,https://github.com/rohitg00/awesome-claude-code-toolkit
Yeachan-Heo/oh-my-claudecode,10183,10183,713,187,187,12,https://github.com/Yeachan-Heo/oh-my-claudecode
OthmanAdi/planning-with-files,16331,16331,1497,106,106,5,https://github.com/OthmanAdi/planning-with-files
cixingguangming55555/wechat-bot,2533,2533,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
wanshuiyin/Auto-claude-code-research-in-sleep,1983,1983,169,301,301,12,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ericbuess/claude-code-docs,739,739,105,3,3,0,https://github.com/ericbuess/claude-code-docs
severity1/claude-code-prompt-improver,1283,1283,109,5,5,0,https://github.com/severity1/claude-code-prompt-improver
code-yeongyu/oh-my-openagent,40879,40879,3073,332,332,21,https://github.com/code-yeongyu/oh-my-openagent
daymade/claude-code-skills,669,669,102,10,10,2,https://github.com/daymade/claude-code-skills
MadAppGang/claude-code,245,245,25,0,0,0,https://github.com/MadAppGang/claude-code
ccplugins/awesome-claude-code-plugins,631,631,137,6,6,4,https://github.com/ccplugins/awesome-claude-code-plugins
anthropics/claude-agent-sdk-python,5520,5520,737,29,29,5,https://github.com/anthropics/claude-agent-sdk-python
greggh/claude-code.nvim,1929,1929,62,7,7,0,https://github.com/greggh/claude-code.nvim
numman-ali/openskills,9066,9066,579,29,29,1,https://github.com/numman-ali/openskills
anomalyco/opencode,124158,124158,12989,650,650,113,https://github.com/anomalyco/opencode
