full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,126541,126541,20752,261,261,30,https://github.com/anthropics/claude-code
claude-code-best/claude-code,18916,18916,15969,74,74,21,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2168,2168,5888,2,2,3,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3322,3322,4627,15,15,5,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,62617,62617,10228,230,230,41,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2718,2718,3369,10,10,5,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9255,9255,14647,7,7,-3,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1752,1752,2552,7,7,5,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1410,1410,2378,6,6,3,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,83,83,7262,0,0,-6,https://github.com/RishabhK103/claude-code
Alishahryar1/free-claude-code,29705,29705,4468,478,478,78,https://github.com/Alishahryar1/free-claude-code
hesreallyhim/awesome-claude-code,44805,44805,3863,84,84,15,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,54861,54861,5503,162,162,21,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34389,34389,2807,36,36,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27563,27563,2831,20,20,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,863,863,1198,2,2,1,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,180,180,2272,0,0,-1,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,19931,19931,2894,91,91,12,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3150,3150,3799,1,1,0,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20539,20539,2392,69,69,10,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2249,2249,3507,4,4,2,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7730,7730,1864,12,12,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10500,10500,1844,28,28,4,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2730,2730,1692,24,24,3,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,314,314,608,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9662,9662,1223,4,4,-2,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9197,9197,702,6,6,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8472,8472,639,9,9,-2,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1149,1149,2368,9,9,17,https://github.com/pedrohcgs/claude-code-my-workflow
hangsman/claude-code-source,780,780,1750,0,0,1,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2510,2510,2329,9,9,5,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3397,3397,732,8,8,2,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5921,5921,561,3,3,-1,https://github.com/ChrisWiles/claude-code-showcase
affaan-m/ECC,192556,192556,29794,1624,1624,246,https://github.com/affaan-m/ECC
huangserva/claude-code-cli,588,588,1306,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3806,3806,560,0,0,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,227,227,330,0,0,1,https://github.com/alex000kim/claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,10640,10640,1007,107,107,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
xorespesp/claude-code,225,225,314,0,0,0,https://github.com/xorespesp/claude-code
1rgs/claude-code-proxy,3603,3603,469,2,2,0,https://github.com/1rgs/claude-code-proxy
nicedreamzapp/claude-code-local,2688,2688,515,4,4,-1,https://github.com/nicedreamzapp/claude-code-local
FlorianBruniaux/claude-code-ultimate-guide,4485,4485,595,13,13,4,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
lorryjovens-hub/claude-code-rust,1614,1614,632,3,3,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4168,4168,408,4,4,0,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,275,275,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
